matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,yellow_cards.home,yellow_cards.away,red_cards.home,red_cards.away
2qsbaz5A,,FINISHED,23.05.2021 17:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,2,0,7.4,6.5,Moss J. (Eng),Emirates Stadium (London),60 704,10 000,54%,46%,16,5,5,1,11,3,0%,0%,7,3,4,1,2,1,9,12,14,5,10,8,1,3
tzt2bfKG,,FINISHED,23.05.2021 17:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,2,1,7.3,6.6,Attwell S. (Eng),Villa Park (Birmingham),42 789,10 000,29%,71%,6,23,3,7,2,9,0%,0%,3,11,0,5,0,2,13,12,12,27,11,12,6,1,3,4,0,1
zcu6cEZM,,FINISHED,23.05.2021 17:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,0,2,6.5,7.2,Kavanagh C. (Eng),Craven Cottage (London),29 589,2 000,64%,36%,14,10,0,4,5,4,0%,0%,7,3,7,3,1,0,6,14,21,22,12,6,2,0,1,0,,
l0qAdYlT,,FINISHED,23.05.2021 17:00,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,West Brom,https://static.flashscore.com/res/image/data/zDuImRwS-ImMEe0UF.png,3,1,7.3,6.3,Coote D. (Eng),Elland Road (Leeds),37 792,8 000,64%,36%,17,14,9,5,8,3,0%,0%,3,6,5,3,3,3,14,16,19,15,12,12,4,6,2,1,,
fsMxhhcp,,FINISHED,23.05.2021 17:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,2,4,6.6,7,Taylor A. (Eng),King Power Stadium (Leicester),32 261,8 000,47%,53%,10,11,6,4,8,7,0%,0%,2,2,2,5,3,1,7,11,26,26,9,8,0,4,0,2,,
YXKtiCCj,,FINISHED,23.05.2021 17:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,2,0,7.4,6.4,Pawson C. (Eng),Anfield (Liverpool),61 276,9 901,70%,30%,19,5,5,4,14,1,0%,0%,10,1,4,0,2,1,9,12,21,18,10,8,4,3,2,2,,
MmEOFeki,,FINISHED,23.05.2021 17:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,5,0,7.9,6.1,Oliver M. (Eng),Etihad Stadium (Manchester),55 097,10 000,68%,32%,21,8,11,3,7,5,0%,0%,6,2,4,3,1,1,11,8,15,15,8,10,3,6,2,2,,
0vDSEF4c,,FINISHED,23.05.2021 17:00,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,1,0,7.3,6.9,Friend K. (Eng),Bramall Lane (Sheffield),32 050,5 000,43%,57%,12,10,3,3,8,9,0%,0%,7,3,2,4,2,1,2,13,14,25,11,1,3,2,,,,
r32XDZJ3,,FINISHED,23.05.2021 17:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,3,0,7.5,6.5,Atkinson M. (Eng),London Stadium (London),62 500,10 000,37%,63%,14,17,7,5,2,3,0%,0%,6,8,1,4,5,2,11,10,22,21,5,9,5,4,0,3,,
fw6yDgZ9,,FINISHED,23.05.2021 17:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,1,2,6.5,7.3,Dean M. (Eng),Molineux Stadium (Wolverhampton),31 750,4 500,57%,43%,14,9,4,4,6,2,0%,0%,6,5,4,0,1,1,4,14,20,17,14,3,2,3,4,1,,
