matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,red_cards.home,red_cards.away
CWuae5l9,,FINISHED,22.05.2022 17:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,5,1,7.5,6.1,Marriner A. (Eng),Emirates Stadium (London),60 704,60 201,74%,26%,26,6,9,2,12,2,90%,65%,0,1,8,3,9,1,2,0,8,9,12,13,8,9,1,4
QZq3fP3F,,FINISHED,22.05.2022 17:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,1,2,6.8,7.1,Tierney P. (Eng),Brentford Community Stadium (London),17 250,16 957,49%,51%,14,14,5,6,3,2,77%,72%,4,1,7,6,2,2,0,2,15,9,19,20,11,13,4,4,1,0
8bZ7gqJL,,FINISHED,22.05.2022 17:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,3,1,7.4,6.4,Friend K. (Eng),Amex Stadium (Brighton),31 876,31 604,50%,50%,18,7,7,2,5,6,82%,79%,1,1,4,2,7,3,0,0,8,8,13,20,9,9,1,4,,
nkYBh3YR,,FINISHED,22.05.2022 17:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,2,6.4,7.3,Pawson C. (Eng),Turf Moor (Burnley),22 546,21 361,51%,49%,12,8,5,6,8,2,69%,71%,1,0,4,2,3,0,5,0,9,11,35,22,8,9,4,4,,
IXKwlNtq,,FINISHED,22.05.2022 17:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Watford,https://static.flashscore.com/res/image/data/C2N3btil-QHkJrpz6.png,2,1,7.6,6.6,Dean M. (Eng),Stamford Bridge (London),40 341,32 089,72%,28%,19,8,8,3,3,3,90%,72%,,,6,2,5,3,0,2,11,8,20,11,9,9,2,6,,
dOJsmsdk,,FINISHED,22.05.2022 17:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,1,0,7.1,6.5,Atkinson M. (Eng),Selhurst Park (London),25 486,25 434,38%,62%,6,10,3,4,3,6,71%,81%,2,4,3,2,0,4,2,4,22,11,22,27,12,22,4,2,,
vm9nn1Be,,FINISHED,22.05.2022 17:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,4,1,7.1,6.3,Moss J. (Eng),King Power Stadium (Leicester),32 261,32 003,51%,49%,12,7,6,2,3,3,78%,77%,0,1,4,5,2,0,1,3,8,9,19,21,10,5,1,2,,
hjDjoLQ1,,FINISHED,22.05.2022 17:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,3,1,7.5,6.8,Taylor A. (Eng),Anfield (Liverpool),61 276,53 097,63%,37%,29,7,8,5,5,3,88%,80%,1,0,7,2,14,0,3,1,4,9,25,15,6,3,4,5,,
6g1Y9432,,FINISHED,22.05.2022 17:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,3,2,7.3,6.4,Oliver M. (Eng),Etihad Stadium (Manchester),55 097,53 395,72%,28%,24,4,5,2,13,1,86%,67%,0,2,10,1,9,1,1,2,10,6,30,14,5,11,0,2,,
pp0x9OI8,,FINISHED,22.05.2022 17:00,Norwich,https://static.flashscore.com/res/image/data/CY8Xm4wS-tCGtX12c.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,0,5,6,7.7,Kavanagh C. (Eng),Carrow Road (Norwich),27 150,27 022,40%,60%,9,19,0,13,3,2,76%,87%,3,1,5,4,4,2,0,4,11,12,17,16,13,7,8,0,,
