matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,shots_off_target.home,shots_off_target.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,yellow_cards.home,yellow_cards.away,red_cards.home,red_cards.away,blocked_shots.home,blocked_shots.away
M1w8YmqE,,FINISHED,28.05.2023 17:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,5,0,7.7,6,Marriner A. (Eng),Emirates Stadium (London),60 704,60 095,2.68,0.51,51%,49%,14,6,8,0,8,4,0%,0%,6,6,1,0,9,9,12,14,8,11,0,3
KndBX7bK,,FINISHED,28.05.2023 17:30,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,2,1,7.2,6.3,Coote D. (Eng),Villa Park (Birmingham),42 789,42 212,2.87,1.56,41%,59%,12,8,5,4,3,3,0%,0%,7,4,0,6,22,15,20,13,15,16,3,3,4,4
E9eFWRDQ,,FINISHED,28.05.2023 17:30,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,0,7.2,6.8,Brooks J. (Eng),Brentford Community Stadium (London),17 250,17 120,0.44,0.60,34%,66%,11,17,4,3,3,4,0%,0%,7,14,3,0,8,13,9,14,12,8,3,3,4,0
GIssSoMs,,FINISHED,28.05.2023 17:30,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,1,7.2,7.2,Gillett J. (Aus),Stamford Bridge (London),40 341,40 130,1.77,1.50,65%,35%,22,13,5,4,10,3,0%,0%,17,9,2,1,13,9,15,16,9,11,3,4,,
YgxnR5yl,,FINISHED,28.05.2023 17:30,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,1,1,7.1,6.8,Bramall T. (Eng),Selhurst Park (London),25 486,25 198,1.73,0.46,66%,34%,15,7,3,4,5,4,0%,0%,12,3,2,2,13,10,22,11,9,13,3,2,0,2
CpyjQPjf,,FINISHED,28.05.2023 17:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,1,0,7.3,6.6,Attwell S. (Eng),Goodison Park (Liverpool),39 572,39 201,1.00,0.46,38%,62%,13,7,6,2,9,3,0%,0%,7,5,0,1,14,11,22,21,11,12,2,5,1,3
67zfPq60,,FINISHED,28.05.2023 17:30,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,1,4,6.4,7.5,Taylor A. (Eng),Elland Road (Leeds),37 792,36 871,1.53,2.09,52%,48%,19,11,2,7,12,3,0%,0%,17,4,1,1,4,7,21,20,7,5,3,1,3,0
KAvbO3L6,,FINISHED,28.05.2023 17:30,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,2,1,7.3,6.6,Hooper S. (Eng),King Power Stadium (Leicester),32 261,32 183,1.40,1.38,48%,52%,13,16,4,3,3,5,0%,0%,9,13,2,3,14,10,17,11,8,10,2,2,1,1
2ZT2NNzD,,FINISHED,28.05.2023 17:30,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,2,1,7.4,6.7,Jones R. (Eng),Old Trafford (Manchester),75 635,73 465,2.79,1.92,53%,47%,21,10,8,3,5,4,0%,0%,13,7,1,1,9,14,9,14,14,10,2,6,1,2
tQS6MsjJ,,FINISHED,28.05.2023 17:30,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,4,4,7.1,7,England D. (Eng),St. Mary's Stadium (Southampton),32 384,31 129,1.90,3.80,31%,69%,15,30,10,8,2,9,0%,0%,5,22,0,0,10,5,16,21,4,10,4,6,0,2
n7guQMeI,,FINISHED,25.05.2023 21:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,4,1,7.2,6.6,Attwell S. (Eng),Old Trafford (Manchester),75 635,73 561,4.65,1.75,41%,59%,18,14,9,5,3,4,0%,0%,9,9,0,0,6,12,15,13,12,6,4,5,1,1
G8hKUpsm,,FINISHED,24.05.2023 21:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,1,7.1,7.3,Hooper S. (Eng),Amex Stadium (Brighton),31 876,31 388,2.40,1.77,40%,60%,20,13,7,4,5,1,0%,0%,13,9,2,0,13,15,5,9,16,11,3,6,2,1
jH78Dn7l,,FINISHED,22.05.2023 21:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,0,0,7.1,7,Marriner A. (Eng),St. James' Park (Newcastle),52 305,52 152,2.35,0.08,77%,23%,23,1,4,1,12,1,0%,0%,19,0,1,0,5,10,19,11,9,5,1,4,2,0
xE34ESir,,FINISHED,21.05.2023 17:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,1,0,7.2,6.6,Oliver M. (Eng),Etihad Stadium (Manchester),55 097,53 490,1.25,1.37,65%,35%,15,13,2,6,5,2,0%,0%,13,7,2,2,11,14,16,11,12,9,6,1,0,2
0W0yLUEE,,FINISHED,21.05.2023 15:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,3,1,7.4,6.4,Tierney P. (Eng),Amex Stadium (Brighton),31 876,31 507,2.79,0.72,63%,37%,26,5,8,1,4,3,0%,0%,18,4,1,1,10,9,16,14,8,9,0,5,2,5
t60LApi7,,FINISHED,21.05.2023 14:30,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,3,1,7.5,6.5,Bankes P. (Eng),London Stadium (London),62 500,62 478,2.09,0.80,59%,41%,19,12,9,3,9,5,0%,0%,10,9,1,1,12,9,25,17,6,11,2,6,1,3
YucDC6Mf,,FINISHED,20.05.2023 18:30,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,1,0,7,6.6,Taylor A. (Eng),City Ground (Nottingham),30 404,29 514,0.58,0.66,18%,82%,6,11,2,3,3,6,0%,0%,4,8,1,1,13,12,14,10,11,12,3,1,3,2
Mu2XLAa8,,FINISHED,20.05.2023 16:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,0,1,6.7,7.5,Kavanagh C. (Eng),Vitality Stadium (Bournemouth),11 307,10 240,1.18,1.47,41%,59%,10,20,4,5,3,6,0%,0%,6,15,0,2,9,6,11,21,6,7,4,4,1,0
trIYJlUK,,FINISHED,20.05.2023 16:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,2,2,7,6.9,Smith J. (Eng),Craven Cottage (London),29 589,24 356,1.67,1.89,49%,51%,11,11,4,5,7,4,0%,0%,7,6,2,2,14,13,17,16,13,12,3,2,3,0
KYGxJ8qR,,FINISHED,20.05.2023 16:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,1,1,7,7.1,Brooks J. (Eng),Anfield (Liverpool),61 276,53 306,0.67,1.51,66%,34%,10,6,5,3,9,3,0%,0%,5,3,4,1,14,20,21,16,16,13,2,4,3,5
KdaP946D,,FINISHED,20.05.2023 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,1,1,6.9,7.1,Coote D. (Eng),Molineux Stadium (Wolverhampton),31 750,31 684,1.37,1.93,53%,47%,13,19,5,4,1,7,0%,0%,8,15,1,0,10,19,10,22,18,10,3,4,5,1
CWeHBQy1,,FINISHED,20.05.2023 13:30,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,3,6.5,7.4,Gillett J. (Aus),Tottenham Hotspur Stadium (London),62 850,61 514,1.76,1.20,62%,38%,22,11,8,4,8,2,0%,0%,14,7,1,1,10,12,18,19,11,9,1,7,1,1
Q1SWq2U0,,FINISHED,18.05.2023 20:30,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,4,1,7.3,6.4,Jones R. (Eng),St. James' Park (Newcastle),52 305,52 122,2.99,0.53,34%,66%,22,8,9,2,6,1,0%,0%,13,6,1,2,16,15,25,18,17,16,1,5,2,4
CAKtamhe,,FINISHED,15.05.2023 21:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,0,3,6.5,7.5,Pawson C. (Eng),King Power Stadium (Leicester),32 261,32 225,0.59,2.21,33%,67%,4,16,4,5,4,4,0%,0%,0,11,3,4,21,14,26,28,11,17,2,4,2,1
zPwj9XF2,,FINISHED,14.05.2023 17:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,0,3,6.4,7.3,Madley A. (Eng),Emirates Stadium (London),60 704,60 139,0.76,1.71,41%,59%,14,12,2,6,5,2,0%,0%,12,6,1,4,21,14,10,15,13,17,3,2,1,2
8xxb7BpF,,FINISHED,14.05.2023 15:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,2,0,7.5,6.6,Oliver M. (Eng),Brentford Community Stadium (London),17 250,17 075,3.62,0.22,53%,47%,24,4,10,4,7,5,0%,0%,14,0,3,3,8,8,22,17,5,5,4,8,1,0
4pHY09Nr,,FINISHED,14.05.2023 15:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,3,6.2,7.5,Taylor A. (Eng),Goodison Park (Liverpool),39 572,39 376,1.76,0.70,37%,63%,7,9,3,4,8,6,0%,0%,4,5,1,0,4,12,13,14,11,4,1,3,1,0
EFxf8iV8,,FINISHED,13.05.2023 16:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,2,1,7.1,6.3,Bankes P. (Eng),Villa Park (Birmingham),42 789,42 164,1.16,1.18,49%,51%,8,5,4,2,8,3,0%,0%,4,3,2,9,23,11,9,15,9,14,1,2,3,3
KCu26VaL,,FINISHED,13.05.2023 16:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,2,2,7,7,Tierney P. (Eng),Stamford Bridge (London),40 341,40 030,1.14,1.72,76%,24%,14,11,6,2,2,5,0%,0%,8,9,1,2,16,13,24,13,13,15,0,4,3,1
2yV65kFR,,FINISHED,13.05.2023 16:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,2,0,7.5,6.5,Salisbury M. (Eng),Selhurst Park (London),25 486,25 034,1.50,0.32,60%,40%,17,5,5,0,11,2,0%,0%,12,5,2,1,13,7,15,17,5,12,0,3,0,2
fZ9ob771,,FINISHED,13.05.2023 16:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,2,0,7.5,6.6,Brooks J. (Eng),Old Trafford (Manchester),75 635,73 570,2.51,0.34,48%,52%,27,5,9,0,11,7,0%,0%,18,5,0,1,7,8,15,18,9,9,0,7,3,2
8xEkcRM7,,FINISHED,13.05.2023 16:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,0,2,6.4,7.2,Bramall T. (Eng),St. Mary's Stadium (Southampton),32 384,28 978,0.24,1.49,35%,65%,5,9,1,4,1,8,0%,0%,4,5,4,1,13,21,18,17,17,12,2,1,2,0
