matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,blocked_shots.home,blocked_shots.away,red_cards.home,red_cards.away
jXP8f29S,,FINISHED,19.05.2024 17:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,2,1,7.2,6.4,Oliver M. (Eng),Emirates Stadium (London),60 704,60 312,3.12,0.50,69%,31%,26,5,5,2,8,1,0%,0%,4,3,21,3,1,4,15,12,20,17,8,11,1,3
htCzjMHq,,FINISHED,19.05.2024 17:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,2,4,6.4,7.1,Hooper S. (Eng),Brentford Community Stadium (London),17 250,17 124,1.07,3.47,54%,46%,10,12,5,7,3,0,0%,0%,4,4,5,5,2,1,12,17,18,22,15,11,3,3
z51uktXk,,FINISHED,19.05.2024 17:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,0,2,6.5,7.3,Pawson C. (Eng),Amex Stadium (Brighton),31 876,31 662,1.76,1.37,56%,44%,17,11,3,4,7,5,0%,0%,1,3,14,7,0,1,10,8,11,9,10,9,2,3,0,0
nu5ql0nd,,FINISHED,19.05.2024 17:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,1,2,6.5,7.3,Scott G. (Eng),Turf Moor (Burnley),22 546,21 109,1.10,1.45,69%,31%,20,12,3,6,4,3,0%,0%,1,0,17,6,0,2,7,11,13,10,11,5,4,2,,
0rgRCqPd,,FINISHED,19.05.2024 17:00,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,2,1,7.5,6.8,Taylor A. (Eng),Stamford Bridge (London),40 341,39 724,0.90,2.34,63%,37%,16,22,6,5,6,5,0%,0%,2,3,10,17,0,1,9,6,17,19,5,9,4,4,,
vZiVB3v3,,FINISHED,19.05.2024 17:00,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,5,0,7.6,6,Bond D. (Eng),Selhurst Park (London),25 486,25 191,2.31,1.20,53%,47%,15,8,9,2,2,4,0%,0%,1,4,6,6,3,1,4,7,8,10,10,8,2,4,,
dAnzBNg9,,FINISHED,19.05.2024 17:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,2,0,7.7,6.5,Kavanagh C. (Eng),Anfield (Liverpool),61 276,60 059,4.46,0.62,66%,34%,36,4,14,3,10,2,0%,0%,1,1,22,1,3,2,12,18,14,15,14,10,3,12,,,0,1
z1ovAs9F,,FINISHED,19.05.2024 17:00,Luton,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,2,4,6.1,7.2,Donohue M. (Eng),Kenilworth Road (Luton),12 300,12 027,2.00,1.02,37%,63%,15,16,6,8,4,4,0%,0%,5,4,9,8,8,1,20,22,12,15,15,20,4,4,,,,
Sd97hFwr,,FINISHED,19.05.2024 17:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,3,1,7.6,6.4,Brooks J. (Eng),Etihad Stadium (Manchester),55 097,55 097,2.20,0.37,70%,30%,28,3,12,2,11,2,0%,0%,0,1,16,1,3,0,11,7,13,12,3,12,1,9,,,,
t0DBiZhl,,FINISHED,19.05.2024 17:00,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,0,3,6.3,7.5,Madley A. (Eng),Bramall Lane (Sheffield),32 050,29 116,1.05,3.40,23%,77%,6,18,1,9,2,6,0%,0%,2,0,5,9,6,0,9,17,18,23,11,9,6,1,,,,
