matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,big_chances.home,big_chances.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,xg_on_target_(xgot).home,xg_on_target_(xgot).away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,shots_inside_the_box.home,shots_inside_the_box.away,shots_outside_the_box.home,shots_outside_the_box.away,hit_the_woodwork.home,hit_the_woodwork.away,touches_in_opposition_box.home,touches_in_opposition_box.away,accurate_through_passes.home,accurate_through_passes.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,long_passes.home,long_passes.away,passes_in_final_third.home,passes_in_final_third.away,crosses.home,crosses.away,expected_assists_(xa).home,expected_assists_(xa).away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,tackles.home,tackles.away,duels_won.home,duels_won.away,clearances.home,clearances.away,interceptions.home,interceptions.away,errors_leading_to_shot.home,errors_leading_to_shot.away,errors_leading_to_goal.home,errors_leading_to_goal.away,goalkeeper_saves.home,goalkeeper_saves.away,xgot_faced.home,xgot_faced.away,goals_prevented.home,goals_prevented.away,red_cards.home,red_cards.away,headed_goals.home,headed_goals.away
44RKa9ke,,FINISHED,25.05.2025 17:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,2,0,7.3,6.4,Smith L. (Eng),Vitality Stadium (Bournemouth),11 307,11 238,1.79,0.27,63%,37%,20,3,7,0,6,0,6,1,82%,74%,0,2,2.35,0.00,7,3,6,0,10,2,10,1,0,0,53,13,1,0,2,2,16,19,33%,31%,74%,59%,32%,25%,1.92,0.43,23,9,19,16,67%,65%,64,54,9,29,8,6,0,0,0,1,0,5,0.00,2.35,0.00,0.35
QJFTcmK7,,FINISHED,25.05.2025 17:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,2,6.5,7.4,Madley A. (Eng),Craven Cottage (London),29 589,27 671,1.74,2.84,47%,53%,13,20,3,5,5,2,1,6,84%,86%,,,1.29,2.55,6,7,4,8,11,16,2,4,0,0,32,46,1,0,2,0,5,11,53%,61%,64%,71%,46%,17%,0.58,1.15,16,17,11,5,47%,64%,40,41,29,14,11,13,0,1,0,0,3,3,2.55,1.29,0.55,1.29
hQ7FLjCE,,FINISHED,25.05.2025 17:00,Ipswich,https://static.flashscore.com/res/image/data/zm5vbmDa-jXzj6iAf.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,1,3,6.5,7.4,Robinson T. (Eng),Portman Road (Ipswich),30 017,29 771,0.79,1.01,41%,59%,14,10,4,6,1,1,4,0,84%,87%,1,1,0.25,1.82,5,1,5,3,10,7,4,3,0,0,32,16,0,0,2,1,9,10,56%,39%,79%,70%,14%,22%,0.55,0.59,17,18,10,9,67%,40%,42,56,25,34,10,9,0,1,1,0,3,3,1.82,0.25,-1.18,-0.75
lh1OJUtR,,FINISHED,25.05.2025 17:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,1,7,7.1,England D. (Eng),Anfield (Liverpool),61 276,60 382,2.17,1.75,69%,31%,14,8,3,5,4,2,11,0,87%,71%,2,0,1.46,2.48,7,2,4,1,12,6,2,2,1,1,34,15,2,0,1,2,10,7,54%,34%,74%,49%,15%,33%,1.53,0.81,16,10,7,10,58%,53%,48,43,17,51,11,16,0,0,0,0,4,2,2.48,1.46,1.48,0.46,1,0
pOnfE84l,,FINISHED,25.05.2025 17:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,2,0,7.4,6.4,Bramall T. (Eng),Old Trafford (Manchester),75 635,73 839,2.86,0.40,67%,33%,24,6,10,1,4,0,4,3,88%,73%,2,2,3.11,0.04,13,2,1,3,13,4,12,2,1,0,51,18,3,0,5,3,10,10,68%,31%,82%,60%,33%,0%,1.93,0.27,12,8,10,10,79%,44%,47,39,21,20,7,5,1,1,0,0,1,8,0.04,3.11,0.04,1.11,0,1,1,0
4Q2eCnZ0,,FINISHED,25.05.2025 17:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,0,1,6.7,7.4,Harrington T. (Eng),St. James' Park (Newcastle),52 305,52 221,1.27,0.90,66%,34%,17,14,6,6,1,1,12,3,87%,78%,1,4,2.15,1.08,7,6,4,2,10,9,7,5,0,0,28,13,0,0,0,0,9,12,47%,44%,76%,55%,31%,27%,0.87,0.29,22,16,12,9,80%,67%,41,50,22,25,1,12,2,0,0,0,5,6,1.08,2.15,0.04,2.15,,,0,1
Cj63AQ3D,,FINISHED,25.05.2025 17:00,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,0,1,6.4,7,Taylor A. (Eng),City Ground (Nottingham),30 404,30 263,1.35,1.07,52%,48%,10,6,2,2,2,3,7,4,84%,80%,2,2,0.14,1.09,4,2,4,2,8,4,2,2,0,0,28,9,1,0,5,1,11,10,46%,25%,70%,64%,21%,8%,0.85,0.65,25,17,10,11,64%,63%,36,38,22,36,4,4,0,1,1,0,1,2,1.09,0.14,0.09,0.14,,,,
hnqjYTeK,,FINISHED,25.05.2025 17:00,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,1,2,6.8,7.4,Bond D. (Eng),St. Mary's Stadium (Southampton),32 384,31 289,0.63,2.20,39%,61%,7,23,2,8,0,3,5,8,81%,91%,,,1.11,1.48,2,5,3,10,5,16,2,7,0,0,17,38,0,1,1,0,8,7,37%,64%,58%,88%,27%,21%,0.52,2.05,12,14,7,8,44%,22%,51,48,28,23,5,2,0,1,0,0,6,1,1.48,1.11,-0.52,0.11,,,1,0
OUZLS7Js,,FINISHED,25.05.2025 17:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,1,4,6.3,7.2,Jones R. (Eng),Tottenham Hotspur Stadium (London),62 850,61 449,1.95,2.27,32%,68%,4,24,2,9,3,4,2,11,77%,90%,3,1,1.55,4.05,1,7,1,8,4,18,0,5,0,1,10,46,0,1,1,2,8,13,39%,59%,40%,81%,0%,36%,0.25,1.37,21,10,13,8,50%,79%,33,54,39,7,9,7,1,0,0,0,5,1,4.05,1.55,-0.04,0.55,,,,
4vrUQolf,,FINISHED,25.05.2025 17:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,1,7.3,7.1,Pawson C. (Eng),Molineux Stadium (Wolverhampton),31 750,31 382,1.12,1.43,48%,52%,18,13,6,7,1,3,8,3,81%,84%,2,1,0.78,2.11,8,5,4,1,8,11,10,2,0,1,34,27,1,0,3,1,9,7,42%,52%,76%,63%,19%,31%,0.74,0.62,23,19,7,9,64%,59%,66,45,23,21,5,6,1,1,1,0,6,5,2.11,0.78,1.11,-0.22,,,,
